key,page,section,en,hi,notes
stay.travel.cab_hill_drive,Travel & Stay,Travel by Road,"<strong class=""stay-bold-highlight"">Hill drive</strong>: The final 35 km climbs winding mountain roads. We highly recommend keeping motion-sickness tablets handy if you need them.","<strong class=""stay-bold-highlight"">पहाड़ी रास्ता</strong>: अंतिम ३५ किमी घुमावदार पहाड़ी रास्तों से होकर गुजरता है। यदि आवश्यकता हो, तो मोशन-सिकनेस की दवाइयां साथ रखने की सलाह दी जाती है।",Hill drive tip
stay.arch.title,Travel & Stay,Accommodations,Your<br>stay,आपका<br>प्रवास,Stay arch title
stay.arch.desc,Travel & Stay,Accommodations,Please let us know if you can make it by September 30 so we can finalize the rooms.,कृपया ३० सितंबर तक अपनी उपस्थिति की पुष्टि करें ताकि हम कमरों की व्यवस्था पूरी कर सकें।,Stay deadline text
stay.arch.btn_rsvp,Travel & Stay,Accommodations,Please RSVP,कृपया उत्तर दें,Arch RSVP CTA button
stay.arch.note,Travel & Stay,Accommodations,We are lovingly coordinating all accommodation and will share your specific hotel and room details directly with you.,हम सभी अतिथियों के ठहरने की व्यवस्था स्नेहपूर्वक कर रहे हैं और आपके होटल व कमरे का विवरण आपसे सीधे साझा करेंगे।,Stay bottom note
stay.weather.title,Travel & Stay,Weather & Packing,Weather and Packing,मौसम और तैयारी,Weather section title
stay.weather.weather_desc,Travel & Stay,Weather & Packing,"<strong class=""stay-bold-highlight"">Mountain Weather</strong>: Expect crisp, sunny days (~10–15°C) and chilly evenings dipping to a brisk ~2–7°C.","<strong class=""stay-bold-highlight"">पहाड़ों का मौसम</strong>: दिन में खिली हुई धूप (~१०–१५°C) और शाम को ठंडी हवाएं (~२–७°C) रहेंगी।",Weather temperature details
stay.weather.packing_desc,Travel & Stay,Weather & Packing,"<strong class=""stay-bold-highlight"">What to Pack</strong>: Warm layers, heavy woolens, a cozy evening coat or shawl, and comfortable walking shoes (Nainital is best explored on foot!).","<strong class=""stay-bold-highlight"">क्या साथ लाएं</strong>: गर्म कपड़े, ऊनी स्वेटर, शाम के लिए कोट या शॉल, और चलने के लिए आरामदायक जूते (नैनीताल पैदल घूमने के लिए सबसे सुंदर है!)।",Packing recommendations
stay.epilogue.quote,Travel & Stay,Epilogue,"“In the hills, traditional woodcraft has always been the heart of a home, intricately carved to hold the warmth of the hearth and welcome dear ones.”","“पहाड़ों में, पारंपरिक काष्ठकला सदा से घर का हृदय रही है—अपनों के स्वागत और आत्मीयता को संजोए हुए।”",Woodcraft tradition quote
celebrations.header.the,Celebrations,Header,The,शुभ,Header script word
celebrations.header.title,Celebrations,Header,WEDDING<br>WEEKEND,विवाह<br>समारोह,Main header title
celebrations.header.location,Celebrations,Header,NAINITAL & DELHI,नैनीताल & दिल्ली,Header location subtitle
celebrations.countdown.suffix,Celebrations,Header,DAYS TO GO,दिन शेष,Countdown suffix
celebrations.countdown.today,Celebrations,Header,TODAY'S THE DAY,आज है वह शुभ दिन,Countdown on wedding day
celebrations.mehndi.eyebrow,Celebrations,Mehndi Card,FRI 20 NOV | 7:30PM,शुक्र २० नवं | शाम ७:३०,Mehndi card date & time
celebrations.mehndi.title,Celebrations,Mehndi Card,Mehndi,मेहंदी,Mehndi card title
celebrations.mehndi.body,Celebrations,Mehndi Card,"A relaxed evening of henna, music and conversations - our one playful exception to Kumaoni traditions.","मेहंदी, संगीत और आत्मीय बातों की एक सुहानी शाम — कुमाऊंनी परंपराओं के बीच हमारा एक चुलबुला उत्सव।",Mehndi card description
celebrations.mehndi.optional,Celebrations,Mehndi Card,(Optional to attend),(उपस्थिति ऐच्छिक),Mehndi optional note
celebrations.wedding.eyebrow,Celebrations,Wedding Card,SAT 21 NOV | 10:30 AM,शनि २१ नवं | सुबह १०:३०,Wedding card date & time
celebrations.wedding.title,Celebrations,Wedding Card,Wedding,शुभ विवाह,Wedding card title
celebrations.wedding.body,Celebrations,Wedding Card,"The ceremony, the vows, and the beginning of our next chapter.","पवित्र फेरे, सात वचन और हमारे नए जीवन का शुभारंभ।",Wedding card description
celebrations.wedding.venue_label,Celebrations,Wedding Card,Venue:,स्थान:,Venue label
celebrations.wedding.venue_name,Celebrations,Wedding Card,The Balrampur House,बलरामपुर हाउस,Venue name
celebrations.party.eyebrow,Celebrations,Evening Party Card,SAT 21 NOV | 7:00 PM,शनि २१ नवं | शाम ७:००,Party card date & time
celebrations.party.title,Celebrations,Evening Party Card,Evening<br>Party,संध्या<br>उत्सव,Party card title
celebrations.party.body1,Celebrations,Evening Party Card,"An evening of great music, good food and dancing with all our favorite people.","मधुर संगीत, स्वादिष्ट भोजन और हमारे सभी प्रियजनों के साथ नृत्य से सजी एक शाम।",Party card description 1
celebrations.party.body2,Celebrations,Evening Party Card,The wedding may be done. The celebration isn’t.,"विवाह के फेरे संपन्न हुए, किंतु उत्सव अभी बाकी है।",Party card tagline
celebrations.reception.eyebrow,Celebrations,Reception Card,MON 23 NOV | 7:00 PM,सोम २३ नवं | शाम ७:००,Reception card date & time
celebrations.reception.title,Celebrations,Reception Card,Reception,स्वागत समारोह,Reception card title
celebrations.reception.body,Celebrations,Reception Card,A final gathering with family and friends in New Delhi to celebrate and get everyone’s blessings.,"नई दिल्ली में परिवार और मित्रों के साथ एक भव्य मिलन, जहां हम सभी का आशीर्वाद प्राप्त करेंगे।",Reception card description
celebrations.epilogue.quote,Celebrations,Epilogue,"A gentle reflection of the mountains close to our hearts. These delicate Pahari miniature details are a little piece of home, woven into our celebration","हमारे हृदय के करीब इन पर्वतों का एक सौम्य प्रतिबिंब। ये सूक्ष्म पहाड़ी मिनिएचर कलाकृतियां हमारे घर का एक अंश हैं, जो इस उत्सव में समाहित हैं",Pahari miniature quote
celebrations.sheet.btn_map,Celebrations,Modal Sheet,View on Map,मानचित्र पर देखें,Google Maps action button
celebrations.sheet.mehndi.attire,Celebrations,Modal Sheet,Playful causals or festive ethnic attire,उत्साही कैजुअल्स या उत्सव के पारंपरिक परिधान,Mehndi attire
celebrations.sheet.mehndi.food,Celebrations,Modal Sheet,Traditional Pahadi snacks & high dinner,पारंपरिक पहाड़ी अल्पाहार एवं स्वादिष्ट रात्रिभोज,Mehndi food
celebrations.sheet.mehndi.parking,Celebrations,Modal Sheet,Parking will be available at venue,स्थान पर पार्किंग की व्यवस्था उपलब्ध रहेगी,Mehndi parking
celebrations.sheet.wedding.assembly,Celebrations,Modal Sheet,10:30 AM | Baraat assembly & welcome,सुबह १०:३० | बारात आगमन एवं स्वागत,Wedding timing 1
celebrations.sheet.wedding.rituals,Celebrations,Modal Sheet,11:30 AM | Traditional kumaoni wedding rituals begin,सुबह ११:३० | पारंपरिक कुमाऊंनी विवाह संस्कार का प्रारंभ,Wedding timing 2
celebrations.sheet.wedding.attire,Celebrations,Modal Sheet,"Traditional Indian wedding wear (bright, festive colours encouraged. No all black and white please. Hot pink reserved for the bride.)","पारंपरिक भारतीय परिधान (उज्ज्वल, मनभावन रंगों का स्वागत है। कृपया पूरी तरह काले या सफेद वस्त्रों से बचें। गहरा गुलाबी रंग दुल्हन के लिए आरक्षित है।)",Wedding dress code
celebrations.sheet.wedding.food,Celebrations,Modal Sheet,Festive lunch feast to follow,विवाह उपरांत पारंपरिक प्रीतिभोज,Wedding food
celebrations.sheet.wedding.location,Celebrations,Modal Sheet,"The Balrampur House, Nainital","बलरामपुर हाउस, नैनीताल",Wedding location
celebrations.sheet.party.attire,Celebrations,Modal Sheet,"Indo-western, glamorous festive, or cocktail attire (encouraged for all! )","इंडो-वेस्टर्न, ग्लैमरस फेस्टि्व या कॉकटेल परिधान (सभी के लिए अनुशंसित!)",Party attire
celebrations.sheet.party.food,Celebrations,Modal Sheet,Celebratory dinner spread and an open bar,उत्सव रात्रिभोज एवं ओपन बार,Party food
celebrations.sheet.party.parking,Celebrations,Modal Sheet,Parking available at the venue,स्थान पर पार्किंग उपलब्ध रहेगी,Party parking
celebrations.sheet.party.location,Celebrations,Modal Sheet,"The Naini Retreat, Nainital","द नैनी रिट्रीट, नैनीताल",Party location
celebrations.sheet.reception.attire,Celebrations,Modal Sheet,Traditional Indian glam and contemporary formals. Make sure to wear footwear you can dance in.,पारंपरिक भारतीय भव्यता और आधुनिक फॉर्मल्स। ऐसे जूते पहनें जिनमें आप खुलकर नाच सकें।,Reception attire
celebrations.sheet.reception.food,Celebrations,Modal Sheet,"Celebratory dinner with endless appetizers, and a luxurious dinner spread.",स्वादिष्ट स्नैक्स और भव्य रात्रिभोज।,Reception food
celebrations.sheet.reception.parking,Celebrations,Modal Sheet,Parking available at venue,स्थान पर पार्किंग उपलब्ध रहेगी,Reception parking
celebrations.sheet.reception.location,Celebrations,Modal Sheet,"Coast Guard Officers' Mess Annexe, A-1, Vindhyachal Marg, Sector 24, Noida, Uttar Pradesh 201301","कोस्ट गार्ड ऑफिसर्स मेस एनेक्सी, ए-१, विंध्याचल मार्ग, सेक्टर २४, नोएडा, उत्तर प्रदेश २०१३०१",Reception location
rsvp.hero.come,RSVP,Header,Come,सादर,Header script word
rsvp.hero.title,RSVP,Header,CELEBRATE<br>WITH US,हमारे उत्सव में<br>सम्मिलित हों,Main RSVP title
rsvp.hero.banner_line1,RSVP,Header,WE WILL BE HONOURED TO HAVE YOU!,आपकी उपस्थिति हमारे लिए सौभाग्य की बात होगी!,Sub banner line 1
rsvp.hero.banner_line2,RSVP,Header,HELP US FINALISE OUR CELEBRATIONS,उत्सव की तैयारियों में कृपया हमारी सहायता करें,Sub banner line 2
rsvp.thanks.title,RSVP,Confirmation,THANK YOU,हार्दिक धन्यवाद,RSVP success title
rsvp.thanks.message,RSVP,Confirmation,Your response has reached us safely.<br>We can't wait to celebrate with you.,आपकी प्रतिक्रिया हमें प्राप्त हो गई है।<br>हम आपके साथ उत्सव मनाने के लिए अत्यंत उत्सुक हैं।,RSVP success message
rsvp.thanks.btn_edit,RSVP,Confirmation,Edit RSVP,प्रतिक्रिया बदलें,Edit RSVP button
rsvp.form.attending_title,RSVP,Form Card 1,Are you joining us?,क्या आप पधार रहे हैं?,Attending question
rsvp.form.opt_yes,RSVP,Form Card 1,"Yes, can’t wait!","हाँ, अवश्य!",Option Yes
rsvp.form.opt_no,RSVP,Form Card 1,"Sorry, we can’t make it.","क्षमा करें, उपस्थित नहीं हो सकेंगे।",Option No
rsvp.form.name_title,RSVP,Form Card 2,Name,नाम,Guest name card title
rsvp.form.name_placeholder,RSVP,Form Card 2,Enter full name,पूरा नाम दर्ज करें,Guest name input placeholder
rsvp.form.btn_add_guest,RSVP,Form Card 2,#ERROR!,#ERROR!,Add guest button
rsvp.form.phone_title,RSVP,Form Card 3,Phone,फ़ोन नंबर,Phone card title
rsvp.form.phone_placeholder,RSVP,Form Card 3,To stay in touch with the updates,नवीनतम जानकारी साझा करने हेतु,Phone input placeholder
rsvp.form.events_title,RSVP,Form Card 4,Events you will attend,किन समारोहों में पधारेंगे,Events selection title
rsvp.form.event_opt_mehndi,RSVP,Form Card 4,Mehndi &nbsp; Fri Nov 20 &nbsp;(optional),मेहंदी &nbsp; शुक्र २० नवं &nbsp;(ऐच्छिक),Checkbox Mehndi
rsvp.form.event_opt_wedding,RSVP,Form Card 4,"Day Wedding &nbsp; Sat Nov 21, 2026","विवाह समारोह &nbsp; शनि २१ नवं, २०२६",Checkbox Wedding
rsvp.form.event_opt_party,RSVP,Form Card 4,"Evening Party &nbsp; Sat Nov 21, 2026","संध्या पार्टी &nbsp; शनि २१ नवं, २०२६",Checkbox Party
rsvp.form.event_opt_reception,RSVP,Form Card 4,"Reception &nbsp; Mon Nov 23, 2026","स्वागत समारोह &nbsp; सोम २३ नवं, २०२६",Checkbox Reception
rsvp.form.diet_title,RSVP,Form Card 5,Preferences or requests,विशेष प्राथमिकताएं या आग्रह,Preferences title
rsvp.form.diet_placeholder,RSVP,Form Card 5,Allergies or any stay related requests ...,भोजन संबंधित परहेज या ठहरने संबंधी कोई निवेदन...,Preferences placeholder
rsvp.form.note_title,RSVP,Form Card 6,Note for us,हमारे लिए संदेश,Note title
rsvp.form.note_placeholder,RSVP,Form Card 6,Any special notes or wishes for us...,आपके आशीर्वाद व शुभकामनाएं...,Note placeholder
rsvp.form.btn_submit,RSVP,Form Action,Send RSVP,निमंत्रण स्वीकारें,Submit button
rsvp.form.submitting,RSVP,Form Action,Submitting...,भेजा जा रहा है...,Submitting status
rsvp.epilogue.quote,RSVP,Epilogue,"“ Painted at our doorsteps to welcome those we hold dear, strokes of Aipan represents the beginning of our story—and we cannot wait to welcome you to our celebration in the mountains.”",“अपनों के आत्मीय स्वागत में देहरी पर सजी ऐंपण की रेखाएं हमारे नए जीवन का शुभारंभ हैं—और पहाड़ों में सजे इस उत्सव में आपका स्वागत करने के लिए हम अत्यंत उत्सुक हैं।”,Aipan tradition quote
invite.cover.title,Invite,Cover,Garima weds Mrinal,गरिमा संग मृणाल,Invite cover heading
invite.cover.sub,Invite,Cover,20 – 22 November 2026 · Nainital,२० – २२ नवंबर २०२६ · नैनीताल,Invite cover subtitle
invite.cover.tap,Invite,Cover,Tap to open,खोलने के लिए स्पर्श करें,Invite cover prompt
invite.scene1.shloka,Invite,Scene 1,॥ श्री गणेशाय नमः ॥,॥ श्री गणेशाय नमः ॥,Lord Ganesha invocation shloka
invite.scene1.eyebrow,Invite,Scene 1,With the blessings of Lord Ganesha & our families,भगवान श्री गणेश एवं हमारे परिवारों के आशीर्वाद से,Blessing eyebrow
invite.scene2.eyebrow,Invite,Scene 2,Together with their families,सपरिवार,Invite scene 2 eyebrow
invite.scene2.sub,Invite,Scene 2,Come join us on our special day,हमारे इस पावन अवसर पर पधारें,Invite scene 2 sub
invite.scene3.place,Invite,Scene 3,Nainital,नैनीताल,Invite scene 3 place
invite.scene3.sub,Invite,Scene 3,A wedding in the Kumaon hills<br>20 – 22 November 2026,कुमाऊं की वादियों में विवाह<br>२० – २२ नवंबर २०२६,Invite scene 3 subtitle
invite.scene4.day_word,Invite,Scene 4,Saturday,शनिवार,Invite scene 4 day
invite.scene4.day_num,Invite,Scene 4,21,२१,Invite scene 4 date
invite.scene4.day_my,Invite,Scene 4,November 2026,नवंबर २०२६,Invite scene 4 month year
invite.scene4.sub,Invite,Scene 4,Baraat at ten · Pheras at one,बारात सुबह दस बजे · फेरे दोपहर एक बजे,Invite scene 4 timing
invite.scene5.title,Invite,Scene 5,The Celebrations,विवाह समारोह,Invite scene 5 title
invite.scene5.fri_label,Invite,Scene 5,Friday · 20 November,शुक्रवार · २० नवंबर,Invite scene 5 Friday
invite.scene5.ev_mehndi,Invite,Scene 5,Mehndi Night,मेहंदी की रात,Invite scene 5 event 1
invite.scene5.sat_label,Invite,Scene 5,Saturday · 21 November,शनिवार · २१ नवंबर,Invite scene 5 Saturday
invite.scene5.ev_baraat,Invite,Scene 5,Baraat,बारात,Invite scene 5 event 2
invite.scene5.ev_varmaala,Invite,Scene 5,Varmaala,वरमाला,Invite scene 5 event 3
invite.scene5.ev_pheras,Invite,Scene 5,Pheras & Saptapadi,फेरे एवं सप्तपदी,Invite scene 5 event 4
invite.scene5.ev_vidaai,Invite,Scene 5,Vidaai,विदाई,Invite scene 5 event 5
invite.scene5.ev_party,Invite,Scene 5,Party & Dinner,संगीत एवं रात्रिभोज,Invite scene 5 event 6
invite.scene5.sun_label,Invite,Scene 5,Sunday · 22 November,रविवार · २२ नवंबर,Invite scene 5 Sunday
invite.scene5.ev_breakfast,Invite,Scene 5,Farewell Breakfast,विदाई अल्पाहार,Invite scene 5 event 7
invite.scene6.when,Invite,Scene 6,"Saturday, the 21st of November, 2026","शनिवार, २१ नवंबर २०२६",Invite scene 6 full date
invite.scene6.where,Invite,Scene 6,Nainital · Uttarakhand,नैनीताल · उत्तराखंड,Invite scene 6 location
invite.scene6.details_website,Invite,Scene 6,our wedding website,हमारी विवाह वेबसाइट,Invite scene 6 link text
invite.ctl.skip,Invite,Controls,Skip ›,आगे बढ़ें ›,Skip animation control
invite.ctl.replay,Invite,Controls,↻ Replay,↻ पुनः देखें,Replay animation control
